U+6E3A,渺
U+6E3E,渾
U+6E43,湃
U+6E4D,湍
U+6E4E,湎
U+6E5F,湟
U+6E6B,湫
U+6E6E,湮
U+6E72,湲
U+6E76,湶
U+6E82,溂
U+6E8F,溏
U+6E98,溘
U+6E9F,溟
U+6EA5,溥
U+6EAA,溪
U+6EAF,溯
U+6EB2,溲
U+6EB7,溷
U+6EBD,溽
U+6EC2,滂
U+6EC4,滄
U+6EC9,滉
U+6ECC,滌
U+6ED3,滓
U+6ED4,滔
U+6ED5,滕
U+6EEC,滬
U+6EEF,滯
U+6EF2,滲
U+6EF7,滷
U+6EF8,滸
U+6EFE,滾
U+6EFF,滿
U+6F11,漑
U+6F13,漓
U+6F31,漱
U+6F32,漲
U+6F3E,漾
U+6F3F,漿
U+6F41,潁
U+6F58,潘
U+6F5B,潛
U+6F66,潦
U+6F6D,潭
U+6F6F,潯
U+6F74,潴
U+6F78,潸
U+6F7A,潺
U+6F7C,潼
U+6F80,澀
U+6F81,澁
U+6F82,澂
U+6F86,澆
U+6F8E,澎
U+6F91,澑
U+6FA1,澡
U+6FA3,澣
U+6FA4,澤
U+6FAA,澪
U+6FB3,澳
U+6FB9,澹
U+6FC2,濂
U+6FC6,濆
U+6FD4,濔
U+6FD5,濕
U+6FD8,濘
U+6FDB,濛
U+6FDF,濟
U+6FE4,濤
U+6FEC,濬
U+6FEE,濮
U+6FF1,濱
U+6FF3,濳
U+6FF6,濶
U+6FFA,濺
U+6FFE,濾
U+7001,瀁
U+7009,瀉
U+700B,瀋
U+700F,瀏
U+7011,瀑
U+7018,瀘
U+701A,瀚
U+701B,瀛
U+701D,瀝
U+701F,瀟
U+7030,瀰
U+7032,瀲
U+703E,瀾
U+704C,灌
U+7051,灑
U+7063,灣
U+7092,炒
U+7099,炙
U+70AC,炬
U+70AE,炮
U+70AF,炯
U+70B3,炳
U+70B8,炸
U+70CB,烋
U+70D9,烙
U+70DD,烝
U+70DF,烟
U+70F1,烱
U+70FD,烽
U+7109,焉
U+7119,焙
U+711C,焜
U+714C,煌
U+7155,煕
U+7156,煖
U+7162,煢
U+7165,煥
U+7166,煦
U+716C,煬
U+7184,熄
U+7188,熈
U+718F,熏
U+7195,熕
U+7199,熙
U+71A8,熨
U+71AC,熬
U+71B9,熹
U+71BE,熾
U+71C9,燉
U+71CE,燎
U+71D2,燒
U+71D4,燔
U+71D7,燗
U+71DF,營
U+71E0,燠
U+71E7,燧
U+71EC,燬
U+71EE,燮
U+71F5,燵
U+71F9,燹
U+71FB,燻
U+71FC,燼
U+71FF,燿
U+720D,爍
U+7210,爐
U+721B,爛
U+7228,爨
U+722C,爬
U+722D,爭
U+7230,爰
U+7232,爲
U+723B,爻
U+723C,爼
U+723F,爿
U+7240,牀
U+7246,牆
U+724B,牋
U+7258,牘
U+7274,牴
U+727E,牾
U+7281,犁
U+7282,犂
U+7287,犇
U+7292,犒
U+7296,犖
U+72A2,犢
U+72A7,犧
U+72B2,犲
U+72B9,犹
U+72C3,狃
U+72C4,狄
U+72C6,狆
U+72CE,狎
U+72D2,狒
U+72E0,狠
U+72E1,狡
U+72E2,狢
U+72F7,狷
U+72F9,狹
U+730A,猊
U+7316,猖
U+7317,猗
U+731C,猜
U+731D,猝
