U+5DF3,巳
U+5DF4,巴
U+5DF7,巷
U+5DFB,巻
U+5DFD,巽
U+5DFE,巾
U+5E02,市
U+5E03,布
U+5E06,帆
U+5E0C,希
U+5E16,帖
U+5E1D,帝
U+5E25,帥
U+5E2B,師
U+5E2D,席
U+5E2F,帯
U+5E30,帰
U+5E33,帳
U+5E38,常
U+5E3D,帽
U+5E45,幅
U+5E4C,幌
U+5E55,幕
U+5E61,幡
U+5E63,幣
U+5E72,干
U+5E73,平
U+5E74,年
U+5E78,幸
U+5E79,幹
U+5E7B,幻
U+5E7C,幼
U+5E7D,幽
U+5E7E,幾
U+5E81,庁
U+5E83,広
U+5E84,庄
U+5E87,庇
U+5E8A,床
U+5E8F,序
U+5E95,底
U+5E96,庖
U+5E97,店
U+5E9A,庚
U+5E9C,府
U+5EA6,度
U+5EA7,座
U+5EAB,庫
U+5EAD,庭
U+5EB5,庵
U+5EB6,庶
U+5EB7,康
U+5EB8,庸
U+5EC3,廃
U+5EC9,廉
U+5ECA,廊
U+5ED3,廓
U+5EDF,廟
U+5EE0,廠
U+5EF6,延
U+5EF7,廷
U+5EFA,建
U+5EFB,廻
U+5EFC,廼
U+5EFF,廿
U+5F01,弁
U+5F04,弄
U+5F0A,弊
U+5F0F,式
U+5F10,弐
U+5F13,弓
U+5F14,弔
U+5F15,引
U+5F17,弗
U+5F18,弘
U+5F1B,弛
U+5F1F,弟
U+5F25,弥
U+5F26,弦
U+5F27,弧
U+5F31,弱
U+5F35,張
U+5F37,強
U+5F3C,弼
U+5F3E,弾
U+5F4A,彊
U+5F53,当
U+5F62,形
U+5F66,彦
U+5F69,彩
U+5F6A,彪
U+5F6B,彫
U+5F6C,彬
U+5F70,彰
U+5F71,影
U+5F79,役
U+5F7C,彼
U+5F80,往
U+5F81,征
U+5F84,径
U+5F85,待
U+5F8B,律
U+5F8C,後
U+5F90,徐
U+5F92,徒
U+5F93,従
U+5F97,得
U+5FA1,御
U+5FA9,復
U+5FAA,循
U+5FAE,微
U+5FB3,徳
U+5FB4,徴
U+5FB9,徹
U+5FBD,徽
U+5FC3,心
U+5FC5,必
U+5FCC,忌
U+5FCD,忍
U+5FD7,志
U+5FD8,忘
U+5FD9,忙
U+5FDC,応
U+5FE0,忠
U+5FEB,快
U+5FF5,念
U+5FFD,忽
U+6012,怒
U+6016,怖
U+601C,怜
U+601D,思
U+6020,怠
U+6025,急
U+6027,性
U+6028,怨
U+602A,怪
U+602F,怯
U+604B,恋
U+6050,恐
U+6052,恒
U+6055,恕
U+6062,恢
U+6065,恥
U+6068,恨
U+6069,恩
U+606D,恭
U+606F,息
U+6070,恰
U+6075,恵
U+6089,悉
U+608C,悌
U+6094,悔
U+609F,悟
U+60A0,悠
U+60A3,患
U+60A6,悦
U+60A9,悩
U+60AA,悪
U+60B2,悲
U+60B6,悶
U+60BC,悼
U+60C5,情
U+60C7,惇
U+60D1,惑
U+60DA,惚
U+60DC,惜
U+60DF,惟
U+60E3,惣
U+60E8,惨
U+60F0,惰
U+60F3,想
U+60F9,惹
U+6101,愁
U+6108,愈
U+6109,愉
U+610F,意
U+611A,愚
U+611B,愛
U+611F,感
U+6148,慈
U+614B,態
U+614C,慌
U+614E,慎
U+6155,慕
U+6162,慢
U+6163,慣
U+6167,慧
U+6168,慨
U+616E,慮
U+6170,慰
U+6176,慶
U+617E,慾
U+6182,憂
U+618E,憎
U+6190,憐
U+61A4,憤
U+61A7,憧
U+61A9,憩
U+61B2,憲
U+61B6,憶
U+61BE,憾
U+61C7,懇
U+61D0,懐
U+61F2,懲
U+61F8,懸
U+620A,戊
U+620E,戎
U+6210,成
U+6211,我
U+6212,戒
U+6216,或
U+621A,戚
U+621F,戟
U+6226,戦
U+622F,戯
U+6234,戴
U+6238,戸
U+623B,戻
U+623F,房
U+6240,所
U+6247,扇
U+6249,扉
U+624B,手
U+624D,才
U+6253,打
U+6255,払
U+6258,托
U+626E,扮
U+6271,扱
U+6276,扶
U+6279,批
U+627F,承
U+6280,技
U+6284,抄
U+628A,把
U+6291,抑
U+6295,投
U+6297,抗
U+6298,折
U+629C,抜
U+629E,択
U+62AB,披
U+62B1,抱
U+62B5,抵
U+62B9,抹
U+62BC,押
U+62BD,抽
U+62C5,担
U+62CD,拍
U+62D0,拐
U+62D2,拒
U+62D3,拓
U+62D8,拘
U+62D9,拙
U+62DB,招
U+62DD,拝
U+62E0,拠
U+62E1,拡
U+62EC,括
U+62ED,拭
U+62F3,拳
U+62F6,拶
U+62F7,拷
U+62FE,拾
U+6301,持
U+6307,指
U+6309,按
U+6311,挑
U+6319,挙
U+631F,挟
U+6328,挨
U+632B,挫
U+632F,振
U+633A,挺
U+633D,挽
U+633F,挿
U+6349,捉
U+634C,捌
U+6355,捕
U+6357,捗
U+635C,捜
U+6367,捧
U+6368,捨
U+636E,据
U+6372,捲
U+6377,捷
U+637A,捺
U+637B,捻
U+6383,掃
U+6388,授
U+638C,掌
U+6392,排
U+6398,掘
U+639B,掛
U+63A0,掠
U+63A1,採
U+63A2,探
U+63A5,接
U+63A7,控
U+63A8,推
U+63A9,掩
U+63AA,措
U+63AC,掬
U+63B2,掲
U+63B4,掴
U+63BB,掻
U+63C3,揃
U+63CF,描
U+63D0,提
U+63D6,揖
U+63DA,揚
U+63DB,換
U+63E1,握
U+63EE,揮
U+63F4,援
U+63FA,揺
U+640D,損
U+642C,搬
U+642D,搭
U+643A,携
U+643E,搾
U+6442,摂
U+6458,摘
U+6469,摩
U+6478,摸
U+647A,摺
U+6483,撃
U+6492,撒
U+649A,撚
U+649E,撞
U+64A4,撤
U+64AB,撫
U+64AD,播
U+64AE,撮
U+64B0,撰
U+64B2,撲
U+64B9,撹
U+64C1,擁
U+64CD,操
U+64E2,擢
U+64E6,擦
U+64EC,擬
U+64FE,擾
U+652F,支
U+6539,改
U+653B,攻
U+653E,放
U+653F,政
U+6545,故
U+654F,敏
U+6551,救
U+6557,敗
U+6559,教
U+6562,敢
U+6563,散
U+6566,敦
U+656C,敬
U+6570,数
U+6574,整
U+6575,敵
U+6577,敷
U+6587,文
U+6589,斉
U+658C,斌
U+658E,斎
U+6590,斐
U+6591,斑
U+6597,斗
U+6599,料
U+659C,斜
U+65A1,斡
U+65A4,斤
U+65A5,斥
U+65A7,斧
U+65AC,斬
U+65AD,断
U+65AF,斯
U+65B0,新
U+65B9,方
U+65BC,於
U+65BD,施
U+65C5,旅
U+65CB,旋
U+65CF,族
U+65D7,旗
U+65E2,既
U+65E5,日
U+65E6,旦
U+65E7,旧
U+65E8,旨
U+65E9,早
U+65EC,旬
U+65ED,旭
U+65FA,旺
U+6602,昂
U+6606,昆
U+6607,昇
U+660C,昌
U+660E,明
U+660F,昏
U+6613,易
U+6614,昔
U+661F,星
U+6620,映
U+6625,春
U+6627,昧
U+6628,昨
U+662D,昭
U+662F,是
U+663C,昼
U+6642,時
U+6643,晃
U+664B,晋
U+6652,晒
U+6666,晦
U+6669,晩
U+666E,普
U+666F,景
U+6674,晴
U+6676,晶
U+667A,智
U+6681,暁
U+6687,暇
U+6691,暑
U+6696,暖
U+6697,暗
U+66A2,暢
U+66A6,暦
U+66AB,暫
U+66AE,暮
U+66B4,暴
U+66C7,曇
U+66D9,曙
U+66DC,曜
