U+78F2,磲
U+78F7,磷
U+7900,礀
U+791C,礜
U+792E,礮
U+7931,礱
U+7934,礴
U+7945,祅
U+7946,祆
U+795C,祜
U+7979,祹
U+7998,禘
U+79B1,禱
U+79B8,禸
U+79C8,秈
U+79CA,秊
U+79D4,秔
U+79DE,秞
U+79EB,秫
U+79ED,秭
U+7A03,稃
U+7A39,稹
U+7A5D,穝
U+7A6D,穭
U+7A85,窅
U+7AA0,窠
U+7AB3,窳
U+7ABB,窻
U+7ACE,竎
U+7AEB,竫
U+7AFD,竽
U+7B12,笒
U+7B2D,笭
U+7B3B,笻
U+7B47,筇
U+7B4E,筎
U+7B60,筠
U+7B6D,筭
U+7B6F,筯
U+7B72,筲
U+7B9E,箞
U+7BD7,篗
U+7BD9,篙
U+7C01,簁
U+7C1E,簞
U+7C20,簠
U+7C31,簱
U+7C33,簳
U+7C36,簶
U+7C59,籙
U+7C6D,籭
U+7C79,籹
U+7C8F,粏
U+7C94,粔
U+7CA0,粠
U+7CBC,粼
U+7CD5,糕
U+7CD9,糙
U+7CDD,糝
U+7D07,紇
U+7D08,紈
U+7D13,紓
U+7D1D,紝
U+7D23,紣
U+7D31,紱
U+7D41,絁
U+7D48,絈
U+7D53,絓
U+7D5C,絜
U+7D7A,絺
U+7D83,綃
U+7D8B,綋
U+7DA0,綠
U+7DA6,綦
U+7DC2,緂
U+7DCC,緌
U+7DD6,緖
U+7DE3,緣
U+7E08,縈
U+7E11,縑
U+7E15,縕
U+7E28,縨
U+7E47,繇
U+7E52,繒
U+7E61,繡
U+7E6B,繫
U+7E8A,纊
U+7E8D,纍
U+7F47,罇
U+7F91,羑
U+7F97,羗
U+7FBF,羿
U+7FCE,翎
U+7FDB,翛
U+7FDF,翟
U+7FEC,翬
U+7FEE,翮
U+7FFA,翺
U+8014,耔
U+8026,耦
U+8035,耵
U+8037,耷
U+803C,耼
U+80CA,胊
U+80D7,胗
U+80E0,胠
U+80F3,胳
U+8118,脘
U+814A,腊
U+8160,腠
U+8167,腧
U+8168,腨
U+816D,腭
U+81BB,膻
U+81CA,臊
U+81CF,臏
U+81D7,臗
U+8260,艠
U+8274,艴
U+828E,芎
U+82A1,芡
U+82A3,芣
U+82A4,芤
U+82A9,芩
U+82AE,芮
U+82B7,芷
U+82BE,芾
U+82BF,芿
U+82C6,苆
U+82D5,苕
U+82FD,苽
U+82FE,苾
U+8300,茀
U+8301,茁
U+8322,茢
U+832D,茭
U+833A,茺
U+8343,荃
U+8347,荇
U+8351,荑
U+8355,荕
U+8362,荢
U+837D,荽
U+8386,莆
U+8392,莒
U+8398,莘
U+83A7,莧
U+83A9,莩
U+83BF,莿
U+83C0,菀
U+83C7,菇
U+83CF,菏
U+83D1,菑
U+83E1,菡
U+83EA,菪
U+8401,萁
U+8406,萆
U+840A,萊
U+8448,葈
U+845F,葟
U+8470,葰
U+8473,葳
U+8485,蒅
U+849E,蒞
U+84AF,蒯
U+84B4,蒴
U+84BA,蒺
U+84C0,蓀
U+84C2,蓂
U+851E,蔞
U+8523,蔣
U+852F,蔯
U+8532,蔲
U+8559,蕙
U+8564,蕤
U+857A,蕺
U+858C,薌
U+858F,薏
U+85A2,薢
U+85AD,薭
U+85B0,薰
U+85CB,藋
U+85CE,藎
U+85ED,藭
U+85FF,藿
U+8604,蘄
U+8605,蘅
U+8610,蘐
U+8612,蘒
U+8618,蘘
U+8629,蘩
U+8638,蘸
U+8641,虁
U+8657,虗
U+865B,虛
U+8662,虢
U+866C,虬
U+8675,虵
U+8698,蚘
U+86B8,蚸
U+86FA,蛺
U+86FC,蛼
U+86FD,蛽
U+870B,蜋
U+8771,蝱
U+8787,螇
U+8788,螈
U+87AC,螬
U+87AD,螭
U+87B5,螵
U+87D6,蟖
U+87EC,蟬
U+8806,蠆
U+880A,蠊
U+8810,蠐
U+8814,蠔
U+881F,蠟
U+8898,袘
U+88AA,袪
U+88CA,裊
U+88CE,裎
U+88F5,裵
U+8918,褘
U+8919,褙
U+891A,褚
U+891C,褜
U+8927,褧
U+8930,褰
U+8932,褲
U+8939,褹
U+8940,襀
U+8994,覔
U+89D4,觔
U+89E5,觥
U+89F6,觶
U+8A12,訒
U+8A15,訕
U+8A22,訢
U+8A37,訷
U+8A47,詇
U+8A4E,詎
U+8A5D,詝
U+8A61,詡
U+8A75,詵
U+8A79,詹
U+8AA7,誧
U+8AD0,諐
U+8ADF,諟
U+8AF4,諴
U+8AF6,諶
U+8B46,譆
U+8B54,譔
U+8B59,譙
U+8B69,譩
U+8B9D,讝
U+8C49,豉
U+8C68,豨
U+8CE1,賡
U+8CF4,賴
U+8CF8,賸
U+8CFE,賾
U+8D12,贒
U+8D1B,贛
U+8DAF,趯
U+8DCE,跎
U+8DD1,跑
U+8DD7,跗
U+8E20,踠
